等級,日期和時間,來源,事件識別碼,工作類別
資訊,2025/6/26 下午 10:18:28,Microsoft-Windows-Kernel-General,16,無,已清除登錄區 \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.WindowsCamera_2025.2505.2.0_x64__8wekyb3d8bbwe\ActivationStore.dat 中的存取歷程記錄，更新了 0 個機碼並建立了 0 個修改的頁面。
資訊,2025/6/26 下午 10:18:24,Microsoft-Windows-WindowsUpdateClient,44,Windows Update 代理程式,Windows Update 已開始下載更新。
資訊,2025/6/26 下午 10:18:24,Microsoft-Windows-WindowsUpdateClient,44,Windows Update 代理程式,Windows Update 已開始下載更新。
資訊,2025/6/26 下午 10:18:24,Microsoft-Windows-WindowsUpdateClient,44,Windows Update 代理程式,Windows Update 已開始下載更新。
資訊,2025/6/26 下午 10:18:23,Microsoft-Windows-WindowsUpdateClient,44,Windows Update 代理程式,Windows Update 已開始下載更新。
資訊,2025/6/26 下午 10:18:21,Microsoft-Windows-WindowsUpdateClient,44,Windows Update 代理程式,Windows Update 已開始下載更新。
資訊,2025/6/26 下午 10:18:21,Microsoft-Windows-WindowsUpdateClient,44,Windows Update 代理程式,Windows Update 已開始下載更新。
資訊,2025/6/26 下午 10:18:21,Microsoft-Windows-WindowsUpdateClient,44,Windows Update 代理程式,Windows Update 已開始下載更新。
資訊,2025/6/26 下午 10:18:19,Microsoft-Windows-WindowsUpdateClient,44,Windows Update 代理程式,Windows Update 已開始下載更新。
資訊,2025/6/26 下午 10:18:17,Microsoft-Windows-WindowsUpdateClient,44,Windows Update 代理程式,Windows Update 已開始下載更新。
資訊,2025/6/26 下午 10:18:17,Microsoft-Windows-WindowsUpdateClient,44,Windows Update 代理程式,Windows Update 已開始下載更新。
資訊,2025/6/26 下午 10:18:17,Microsoft-Windows-WindowsUpdateClient,44,Windows Update 代理程式,Windows Update 已開始下載更新。
資訊,2025/6/26 下午 10:18:11,Microsoft-Windows-WindowsUpdateClient,19,Windows Update 代理程式,安裝成功: Windows 已順利安裝下列更新: 9WZDNCRFJ3P2-MICROSOFT.ZUNEVIDEO
資訊,2025/6/26 下午 10:18:11,Microsoft-Windows-Kernel-General,16,無,已清除登錄區 \??\C:\Users\sobel\AppData\Local\Packages\Microsoft.ZuneVideo_8wekyb3d8bbwe\Settings\settings.dat 中的存取歷程記錄，更新了 1 個機碼並建立了 1 個修改的頁面。
資訊,2025/6/26 下午 10:18:11,Microsoft-Windows-WindowsUpdateClient,43,Windows Update 代理程式,已開始安裝: Windows 已開始安裝下列更新: 9WZDNCRFJ3P2-MICROSOFT.ZUNEVIDEO
資訊,2025/6/26 下午 10:18:10,Microsoft-Windows-Kernel-General,16,無,已清除登錄區 \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.ZuneVideo_10.25051.10031.0_x64__8wekyb3d8bbwe\ActivationStore.dat 中的存取歷程記錄，更新了 0 個機碼並建立了 0 個修改的頁面。
資訊,2025/6/26 下午 10:18:03,Microsoft-Windows-WindowsUpdateClient,44,Windows Update 代理程式,Windows Update 已開始下載更新。
資訊,2025/6/26 下午 10:18:03,Microsoft-Windows-WindowsUpdateClient,44,Windows Update 代理程式,Windows Update 已開始下載更新。
資訊,2025/6/26 下午 10:18:03,Microsoft-Windows-WindowsUpdateClient,44,Windows Update 代理程式,Windows Update 已開始下載更新。
資訊,2025/6/26 下午 10:18:03,Microsoft-Windows-WindowsUpdateClient,44,Windows Update 代理程式,Windows Update 已開始下載更新。
資訊,2025/6/26 下午 10:17:58,Microsoft-Windows-WindowsUpdateClient,19,Windows Update 代理程式,安裝成功: Windows 已順利安裝下列更新: 9WZDNCRFJBMP-MICROSOFT.WINDOWSSTORE
資訊,2025/6/26 下午 10:17:58,Microsoft-Windows-WindowsUpdateClient,43,Windows Update 代理程式,已開始安裝: Windows 已開始安裝下列更新: 9WZDNCRFJBMP-MICROSOFT.WINDOWSSTORE
資訊,2025/6/26 下午 10:17:57,Microsoft-Windows-Kernel-General,16,無,已清除登錄區 \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.WindowsStore_22505.1401.17.0_x64__8wekyb3d8bbwe\ActivationStore.dat 中的存取歷程記錄，更新了 0 個機碼並建立了 0 個修改的頁面。
資訊,2025/6/26 下午 10:17:40,Microsoft-Windows-WindowsUpdateClient,44,Windows Update 代理程式,Windows Update 已開始下載更新。
錯誤,2025/6/26 下午 10:17:35,Microsoft-Windows-WindowsUpdateClient,20,Windows Update 代理程式,安裝失敗: Windows 無法安裝下列更新，錯誤 0x80073D02: 9NBLGGH4NNS1-Microsoft.DesktopAppInstaller。
資訊,2025/6/26 下午 10:17:34,Microsoft-Windows-WindowsUpdateClient,43,Windows Update 代理程式,已開始安裝: Windows 已開始安裝下列更新: 9NBLGGH4NNS1-Microsoft.DesktopAppInstaller
資訊,2025/6/26 下午 10:17:34,Microsoft-Windows-WindowsUpdateClient,44,Windows Update 代理程式,Windows Update 已開始下載更新。
資訊,2025/6/26 下午 10:17:34,Microsoft-Windows-WindowsUpdateClient,44,Windows Update 代理程式,Windows Update 已開始下載更新。
資訊,2025/6/26 下午 10:17:34,Microsoft-Windows-WindowsUpdateClient,44,Windows Update 代理程式,Windows Update 已開始下載更新。
資訊,2025/6/26 下午 10:17:34,Microsoft-Windows-Kernel-General,16,無,已清除登錄區 \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.DesktopAppInstaller_1.26.400.0_x64__8wekyb3d8bbwe\ActivationStore.dat 中的存取歷程記錄，更新了 0 個機碼並建立了 0 個修改的頁面。
資訊,2025/6/26 下午 10:17:30,Microsoft-Windows-WindowsUpdateClient,19,Windows Update 代理程式,安裝成功: Windows 已順利安裝下列更新: 9NHT9RB2F4HD-Microsoft.Copilot
資訊,2025/6/26 下午 10:17:30,Microsoft-Windows-Kernel-General,16,無,已清除登錄區 \??\C:\Users\sobel\AppData\Local\Packages\Microsoft.Copilot_8wekyb3d8bbwe\Settings\settings.dat 中的存取歷程記錄，更新了 1 個機碼並建立了 1 個修改的頁面。
